#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2010.46980,,,30.75000,
2010.48330,,28.83000,,
2010.49700,,,30.39000,
2010.51050,,27.39000,,
2010.52420,,,30.00000,
2010.53770,,29.02000,,
2010.55130,,,30.49000,
2010.56390,,29.08000,,
2010.57840,,,28.37000,
2010.59200,,28.96000,,
2010.60550,,,26.71000,
2010.61920,,31.41000,,
2010.63280,,,27.74000,
2010.64630,,27.87000,,
2010.65990,,,23.97000,
2010.67330,,25.92000,,
2010.68700,,,25.58000,
2010.70060,,25.91000,,
2010.71420,,,25.04000,
2010.72770,,25.36000,,
2010.74140,,,24.23000,
2010.75490,,23.84000,,
2010.76850,,,25.31000,
2010.78200,,25.91000,,
2010.79560,,,28.53000,
2010.80920,,29.53000,,
2010.82280,,,26.69000,
2010.83640,,28.91000,,
2010.84990,,,25.90000,
2010.86350,,26.55000,,
2010.87710,,,27.01000,
2010.89060,,22.63000,,
2010.90430,,,22.99000,
2010.91780,,21.28000,,
2010.93140,,,24.25000,
2010.94490,,24.35000,,
2010.95860,,,23.94000,
2010.97210,,26.35000,,
2010.98570,,,26.36000,
2010.99930,,26.41000,,
2011.01290,,,23.96000,
2011.02640,,23.13000,,
2011.03990,,,23.37000,
2011.05360,,22.96000,,
2011.06710,,,25.17000,
2011.08070,,25.74000,,
2011.09430,,,23.62000,
2011.10780,,23.75000,,
2011.12140,,,22.62000,
2011.13500,,24.47000,,
2011.14860,,,23.38000,
2011.16210,,24.72000,,
2011.17570,,,23.92000,
2011.18920,,23.71000,,
2011.20290,,,23.98000,
2011.21640,,22.78000,,
2011.23000,,,21.78000,
2011.24360,,23.47000,,
