Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19420421:2100,0.0,-,-,-,24,D
4241,19420422:2100,0.0,-,-,-,24,D
4241,19420423:2100,0.0,-,-,-,24,D
4241,19420424:2100,0.0,-,-,-,24,D
4241,19420425:2100,0.0,-,-,-,24,D
4241,19420426:2100,0.0,-,-,-,24,D
4241,19420427:2100,0.0,-,-,-,24,D
4241,19420428:2100,0.0,-,-,-,24,D
4241,19420429:2100,0.0,-,-,-,24,D
4241,19420430:2100,0.0,-,-,-,24,D
4241,19420501:2100,0.0,-,-,-,24,D
4241,19420502:2100,0.0,-,-,-,24,D
4241,19420503:2100,0.0,-,-,-,24,D
4241,19420504:2100,0.0,-,-,-,24,D
4241,19420505:2100,0.0,-,-,-,24,D
4241,19420506:2100,0.5,-,-,-,24,D
4241,19420507:2100,0.8,-,-,-,24,D
4241,19420508:2100,9.9,-,-,-,24,D
4241,19420509:2100,7.6,-,-,-,24,D
4241,19420510:2100,0.0,-,-,-,24,D
4241,19420511:2100,3.6,-,-,-,24,D
4241,19420512:2100,0.0,-,-,-,24,D
4241,19420513:2100,0.0,-,-,-,24,D
4241,19420514:2100,0.8,-,-,-,24,D
4241,19420515:2100,68.8,-,-,-,24,D
4241,19420516:2100,3.0,-,-,-,24,D
4241,19420517:2100,0.0,-,-,-,24,D
4241,19420518:2100,0.0,-,-,-,24,D
4241,19420519:2100,3.0,-,-,-,24,D
4241,19420520:2100,0.0,-,-,-,24,D
4241,19420521:2100,0.0,-,-,-,24,D
4241,19420522:2100,30.7,-,-,-,24,D
4241,19420523:2100,2.0,-,-,-,24,D
4241,19420524:2100,0.0,-,-,-,24,D
4241,19420525:2100,0.0,-,-,-,24,D
4241,19420526:2100,1.0,-,-,-,24,D
4241,19420527:2100,0.0,-,-,-,24,D
4241,19420528:2100,0.0,-,-,-,24,D
4241,19420529:2100,0.0,-,-,-,24,D
4241,19420530:2100,0.0,-,-,-,24,D
4241,19420531:2100,0.0,-,-,-,24,D
4241,19420601:2100,0.0,-,-,-,24,D
4241,19420602:2100,0.0,-,-,-,24,D
4241,19420603:2100,0.0,-,-,-,24,D
4241,19420604:2100,0.0,-,-,-,24,D
4241,19420605:2100,0.0,-,-,-,24,D
4241,19420606:2100,0.0,-,-,-,24,D
4241,19420607:2100,0.0,-,-,-,24,D
4241,19420608:2100,0.0,-,-,-,24,D
4241,19420609:2100,0.0,-,-,-,24,D
4241,19420610:2100,0.0,-,-,-,24,D
4241,19420611:2100,0.0,-,-,-,24,D
4241,19420612:2100,0.0,-,-,-,24,D
4241,19420613:2100,0.0,-,-,-,24,D
4241,19420614:2100,0.0,-,-,-,24,D
4241,19420615:2100,0.0,-,-,-,24,D
4241,19420616:2100,0.0,-,-,-,24,D
4241,19420617:2100,0.0,-,-,-,24,D
4241,19420618:2100,0.0,-,-,-,24,D
4241,19420619:2100,0.0,-,-,-,24,D
4241,19420620:2100,0.0,-,-,-,24,D
4241,19420621:2100,0.3,-,-,-,24,D
4241,19420622:2100,0.0,-,-,-,24,D
4241,19420623:2100,0.0,-,-,-,24,D
4241,19420624:2100,0.0,-,-,-,24,D
4241,19420625:2100,0.0,-,-,-,24,D
