MIN TEMP       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
20080601 20080630   -23.2
20080701 20080731   -18.8
20080801 20080831   -24.3
20080901 20080930   -22.7
20081001 20081031   -19.2
20081101 20081130    -9.0
20081201 20081231    -3.3
20090101 20090131    -3.9
20090201 20090228    -6.9
20090301 20090331   -12.4
20090401 20090430   -18.8
20090501 20090531   -17.3
20090601 20090630   -17.6
20090701 20090731   -18.2
20090801 20090831   -22.8
20090901 20090930   -18.0
20091001 20091031   -15.7
20091101 20091130    -9.0
20091201 20091231    -4.0
20100101 20100131    -2.1
20100201 20100228    -6.6
20100301 20100331   -12.4
20100401 20100430   -19.0
20100501 20100531   -19.7
20100601 20100630   -20.9
20100701 20100731   -24.2
20100801 20100831   -24.4
20100901 20100930   -17.0
20101001 20101031   -16.6
20101101 20101130   -10.4
20101201 20101231    -4.2
20110101 20110131    -2.8
20110201 20110228    -8.8
20110301 20110331   -12.7
20110401 20110430   -17.3
20110501 20110531   -19.4
20110601 20110630   -18.6
20110701 20110731   -17.1
20110801 20110831   -19.8
20110901 20110930   -19.3
20111001 20111031   -18.5
20111101 20111130    -8.0
20111201 20111231    -5.2
20120101 20120131    -4.2
20120201 20120229    -7.6
20120301 20120331   -14.8
20120401 20120430   -17.5
20120501 20120531   -21.5
20120601 20120630   -20.5
20120701 20120731   -24.3
20120801 20120831   -23.4
20120901 20120930   -22.2
20121001 20121031   -14.6
20121101 20121130    -7.9
20121201 20121231    -3.3
20130101 20130131    -2.5
20130201 20130228    -7.6
20130301 20130331   -15.1
20130401 20130430   -17.3
20130501 20130531   -22.9
20130601 20130630   -19.4
20130701 20130731   -20.4
20130801 20130831   -20.9
20130901 20130930   -16.0
20131001 20131031   -12.8
20131101 20131130    -7.6
20131201 20131231    -3.2
20140101 20140131    -2.1
20140201 20140228    -7.4
20140301 20140331   -15.4
20140401 20140430   -20.4
20140501 20140531   -16.4
20140601 20140630   -22.1
20140701 20140731   -23.5
20140801 20140831   -20.6
20140901 20140930   -16.7
20141001 20141031   -16.0
20141101 20141130    -7.2
20141201 20141231    -3.6
20150101 20150131    -3.6
20150201 20150228    -8.0
20150301 20150331   -13.6
20150401 20150430   -18.3
20150501 20150531   -25.3
20150601 20150630   -20.0
20150701 20150731   -27.0
20150801 20150831   -23.9
20150901 20150930   -21.0
20151001 20151031   -17.2
20151101 20151130    -8.3
20151201 20151231    -3.4
20160101 20160131    -3.5
20160201 20160229    -8.8
20160301 20160331   -15.4
20160401 20160430   -18.3
20160501 20160531   -19.1
20160601 20160630   -24.2
20160701 20160731   -22.6
20160801 20160831   -18.2
20160901 20160930   -23.5
20161001 20161031   -14.8
20161101 20161130    -6.2
20161201 20161231    -1.7
20170101 20170131    -2.4
20170201 20170228    -7.4
20170301 20170331   -13.0
20170401 20170430   -21.7
20170501 20170531   -17.1
20170601 20170630   -21.8
20170701 20170731   -19.7
20170801 20170831   -23.1
20170901 20170930   -22.1
20171001 20171031   -17.0
20171101 20171130    -7.8
20171201 20171231    -3.8
20180101 20180131    -3.1
20180201 20180228    -7.9
20180301 20180331   -14.8
20180401 20180430   -13.9
20180501 20180531   -18.1
20180601 20180630   -17.6
20180701 20180731   -19.7
20180801 20180831   -15.3
20180901 20180930   -20.7
20181001 20181031   -16.6
20181101 20181130   -10.7
20181201 20181231    -3.8
20190101 20190131    -2.8
20190201 20190228    -5.5
20190301 20190331   -12.8
20190401 20190430   -16.2
20190501 20190531   -20.3
20190601 20190630   -19.7
20190701 20190731   -21.6
20190801 20190831   -20.3
20190901 20190930   -20.2
20191001 20191031   -14.0
20191101 20191130    -6.9
20191201 20191231    -2.8
20200101 20200131    -2.4
20200201 20200229    -7.4
20200301 20200331   -15.5
20200401 20200430   -17.2
20200501 20200531   -16.4
20200601 20200630   -18.4
20200701 20200731   -19.2
20200801 20200831   -17.6
20200901 20200930   -17.8
20201001 20201031   -14.5
20201101 20201130    -7.5
20201201 20201231    -4.2
