MIN TEMP       200284 19600101 20201231 missing_value=99999.9 COCOS ISLAND AIRPORT                      
19991101 19991130    25.0
19991201 19991231    24.8
20000101 20000131    25.2
20000201 20000229    25.0
20000301 20000331    24.7
20000401 20000430    25.2
20000501 20000531    24.7
20000601 20000630    24.4
20000701 20000731    24.5
20000801 20000831    24.6
20000901 20000930    25.0
20001001 20001031    24.4
20001101 20001130    24.2
20001201 20001231    24.5
20010101 20010131    25.2
20010201 20010228    24.3
20010301 20010331    24.8
20010401 20010430    24.9
20010501 20010531    24.9
20010601 20010630    24.8
20010701 20010731    24.2
20010801 20010831    24.1
20010901 20010930    24.1
20011001 20011031    24.4
20011101 20011130    25.0
20011201 20011231    24.8
20020101 20020131    25.4
20020201 20020228    25.3
20020301 20020331    25.4
20020401 20020430    26.1
20020501 20020531    25.6
20020601 20020630    25.5
20020701 20020731    24.1
20020801 20020831    24.3
20020901 20020930    24.1
20021001 20021031    24.6
20021101 20021130    25.0
20021201 20021231    25.1
20030101 20030131    25.7
20030201 20030228    25.7
20030301 20030331    25.6
20030401 20030430    25.6
20030501 20030531    25.8
20030601 20030630    25.4
20030701 20030731    25.0
20030801 20030831    23.7
20030901 20030930    23.7
20031001 20031031    24.1
20031101 20031130    24.2
20031201 20031231    24.8
20040101 20040131    25.6
20040201 20040229    25.6
20040301 20040331    25.3
20040401 20040430    26.0
20040501 20040531    25.6
20040601 20040630    24.7
20040701 20040731    24.5
20040801 20040831    23.9
20040901 20040930    24.0
20041001 20041031    24.6
20041101 20041130    25.1
20041201 20041231    24.9
20050101 20050131    25.5
20050201 20050228    25.8
20050301 20050331    25.9
20050401 20050430    25.2
20050501 20050531    25.6
20050601 20050630    24.4
20050701 20050731    24.2
20050801 20050831    23.5
20050901 20050930    24.3
20051001 20051031    24.4
20051101 20051130    25.1
20051201 20051231    24.9
20060101 20060131    25.2
20060201 20060228    25.2
20060301 20060331    25.7
20060401 20060430    25.0
20060501 20060531    24.8
20060601 20060630    24.6
20060701 20060731    24.1
20060801 20060831    24.6
20060901 20060930    24.4
20061001 20061031    24.4
20061101 20061130    25.0
20061201 20061231    25.3
20070101 20070131    24.4
20070201 20070228    25.8
20070301 20070331    25.3
20070401 20070430    25.2
20070501 20070531    25.5
20070601 20070630    24.9
20070701 20070731    24.4
20070801 20070831    24.6
20070901 20070930    24.4
20071001 20071031    24.5
20071101 20071130    24.8
20071201 20071231    25.3
20080101 20080131    25.2
20080201 20080229    25.2
20080301 20080331    25.1
20080401 20080430    25.2
20080501 20080531    24.8
20080601 20080630    24.5
20080701 20080731    24.4
20080801 20080831    24.5
20080901 20080930    24.3
20081001 20081031    24.5
20081101 20081130    24.3
20081201 20081231    24.3
20090101 20090131    25.2
20090201 20090228    25.5
20090301 20090331    25.4
20090401 20090430    25.4
20090501 20090531    25.0
20090601 20090630    25.2
20090701 20090731    24.6
20090801 20090831    24.6
20090901 20090930    23.6
20091001 20091031    24.4
20091101 20091130    25.4
20091201 20091231    24.9
20100101 20100131    25.2
20100201 20100228    25.7
20100301 20100331    26.1
20100401 20100430    25.9
20100501 20100531    25.5
20100601 20100630    25.0
20100701 20100731    24.4
20100801 20100831    24.9
20100901 20100930    24.9
20101001 20101031    24.4
20101101 20101130    25.3
20101201 20101231    25.2
20110101 20110131    25.2
20110201 20110228    24.9
20110301 20110331    25.2
20110401 20110430    25.1
20110501 20110531    25.3
20110601 20110630    25.2
20110701 20110731    24.0
20110801 20110831    24.5
20110901 20110930    24.4
20111001 20111031    24.4
20111101 20111130    24.9
20111201 20111231    25.2
20120101 20120131    25.3
20120201 20120229    25.2
20120301 20120331    25.2
20120401 20120430    25.5
20120501 20120531    25.9
20120601 20120630    24.8
20120701 20120731    25.0
20120801 20120831    25.1
20120901 20120930    23.9
20121001 20121031    24.8
20121101 20121130    25.2
20121201 20121231    25.4
20130101 20130131    25.3
20130201 20130228    25.8
20130301 20130331    25.5
20130401 20130430    26.5
20130501 20130531    25.7
20130601 20130630    24.6
20130701 20130731    23.8
20130801 20130831    24.7
20130901 20130930    24.2
20131001 20131031    25.2
20131101 20131130    25.3
20131201 20131231    25.0
20140101 20140131    24.8
20140201 20140228    26.0
20140301 20140331    26.0
20140401 20140430    26.3
20140501 20140531    25.3
20140601 20140630    25.1
20140701 20140731    24.5
20140801 20140831    24.8
20140901 20140930    24.8
20141001 20141031    25.0
20141101 20141130    25.2
20141201 20141231    25.4
20150101 20150131    25.2
20150201 20150228    25.9
20150301 20150331    25.6
20150401 20150430    25.7
20150501 20150531    25.9
20150601 20150630    25.1
20150701 20150731    24.8
20150801 20150831    24.3
20150901 20150930    24.7
20151001 20151031    25.2
20151101 20151130    25.6
20151201 20151231    25.7
20160101 20160131    26.0
20160201 20160229    26.3
20160301 20160331    26.2
20160401 20160430    26.3
20160501 20160531    25.8
20160601 20160630    25.3
20160701 20160731    25.1
20160801 20160831    24.3
20160901 20160930    24.2
20161001 20161031    25.0
20161101 20161130    25.1
20161201 20161231    24.7
20170101 20170131    24.8
20170201 20170228    24.8
20170301 20170331    25.4
20170401 20170430    25.7
20170501 20170531    25.8
20170601 20170630    24.7
20170701 20170731    24.3
20170801 20170831    24.1
20170901 20170930    24.2
20171001 20171031    24.1
20171101 20171130    24.9
20171201 20171231    24.5
20180101 20180131    24.9
20180201 20180228    25.0
20180301 20180331    25.1
20180401 20180430    25.6
20180501 20180531    25.9
20180601 20180630    25.4
20180701 20180731    24.4
20180801 20180831    23.8
20180901 20180930    24.0
20181001 20181031    24.7
20181101 20181130    24.9
20181201 20181231    24.5
20190101 20190131    25.4
20190201 20190228    26.2
20190301 20190331    25.6
20190401 20190430    25.6
20190501 20190531    25.9
20190601 20190630    25.2
20190701 20190731    24.4
20190801 20190831    23.5
20190901 20190930    24.5
20191001 20191031    24.8
20191101 20191130    24.9
20191201 20191231    25.9
20200101 20200131    25.5
20200201 20200229    25.7
20200301 20200331    25.5
20200401 20200430    26.9
20200501 20200531    26.0
20200601 20200630    25.5
20200701 20200731    25.0
20200801 20200831    25.1
20200901 20200930    25.5
20201001 20201031    25.1
20201101 20201130    25.6
20201201 20201231    24.8
