MIN TEMP       200288 19440101 20201231 missing_value=99999.9 NORFOLK ISLAND AERO                       
19971101 19971130    16.7
19971201 19971231    20.1
19980101 19980131    19.7
19980201 19980228    21.3
19980301 19980331    20.8
19980401 19980430    18.8
19980501 19980531    17.7
19980601 19980630    16.1
19980701 19980731    15.3
19980801 19980831    14.5
19980901 19980930    15.2
19981001 19981031    16.4
19981101 19981130    17.1
19981201 19981231    18.2
19990101 19990131    20.6
19990201 19990228    21.5
19990301 19990331    20.7
19990401 19990430    18.4
19990501 19990531    18.1
19990601 19990630    15.0
19990701 19990731    14.8
19990801 19990831    13.1
19990901 19990930    14.5
19991001 19991031    16.4
19991101 19991130    16.1
19991201 19991231    17.2
20000101 20000131    18.8
20000201 20000229    19.3
20000301 20000331    18.5
20000401 20000430    17.8
20000501 20000531    16.7
20000601 20000630    14.3
20000701 20000731    14.6
20000801 20000831    13.3
20000901 20000930    14.0
20001001 20001031    15.2
20001101 20001130    15.9
20001201 20001231    17.9
20010101 20010131    19.0
20010201 20010228    19.9
20010301 20010331    20.4
20010401 20010430    18.6
20010501 20010531    16.3
20010601 20010630    14.0
20010701 20010731    14.0
20010801 20010831    13.5
20010901 20010930    14.6
20011001 20011031    16.1
20011101 20011130    17.1
20011201 20011231    18.9
20020101 20020131    19.9
20020201 20020228    20.0
20020301 20020331    19.3
20020401 20020430    17.7
20020501 20020531    16.1
20020601 20020630    14.9
20020701 20020731    13.4
20020801 20020831    13.1
20020901 20020930    14.0
20021001 20021031    14.7
20021101 20021130    15.3
20021201 20021231    17.6
20030101 20030131    18.7
20030201 20030228    19.5
20030301 20030331    19.0
20030401 20030430    18.0
20030501 20030531    16.6
20030601 20030630    15.6
20030701 20030731    13.7
20030801 20030831    12.2
20030901 20030930    13.9
20031001 20031031    14.9
20031101 20031130    15.8
20031201 20031231    18.5
20040101 20040131    19.7
20040201 20040229    20.5
20040301 20040331    19.3
20040401 20040430    16.7
20040501 20040531    16.6
20040601 20040630    15.1
20040701 20040731    13.5
20040801 20040831    12.5
20040901 20040930    13.5
20041001 20041031    15.5
20041101 20041130    16.2
20041201 20041231    18.1
20050101 20050131    19.4
20050201 20050228    19.9
20050301 20050331    19.1
20050401 20050430    17.9
20050501 20050531    16.8
20050601 20050630    14.8
20050701 20050731    14.2
20050801 20050831    13.3
20050901 20050930    14.1
20051001 20051031    15.5
20051101 20051130    16.0
20051201 20051231    18.7
20060101 20060131    19.4
20060201 20060228    19.6
20060301 20060331    19.1
20060401 20060430    18.4
20060501 20060531    15.9
20060601 20060630    13.7
20060701 20060731    13.2
20060801 20060831    12.9
20060901 20060930    13.7
20061001 20061031    14.4
20061101 20061130    16.7
20061201 20061231    16.3
20070101 20070131    18.1
20070201 20070228    19.2
20070301 20070331    19.7
20070401 20070430    17.5
20070501 20070531    16.8
20070601 20070630    15.8
20070701 20070731    14.1
20070801 20070831    14.1
20070901 20070930    14.4
20071001 20071031    15.5
20071101 20071130    16.4
20071201 20071231    18.3
20080101 20080131    20.0
20080201 20080229    19.9
20080301 20080331    19.7
20080401 20080430    18.2
20080501 20080531    15.1
20080601 20080630    14.8
20080701 20080731    14.4
20080801 20080831    13.3
20080901 20080930    14.2
20081001 20081031    14.7
20081101 20081130    16.5
20081201 20081231    17.7
20090101 20090131    19.2
20090201 20090228    21.3
20090301 20090331    19.9
20090401 20090430    18.4
20090501 20090531    15.6
20090601 20090630    15.1
20090701 20090731    13.7
20090801 20090831    14.3
20090901 20090930    15.1
20091001 20091031    14.6
20091101 20091130    16.2
20091201 20091231    18.0
20100101 20100131    19.2
20100201 20100228    19.9
20100301 20100331    19.2
20100401 20100430    18.3
20100501 20100531    16.9
20100601 20100630    15.0
20100701 20100731    13.7
20100801 20100831    14.7
20100901 20100930    15.2
20101001 20101031    15.7
20101101 20101130    16.4
20101201 20101231    19.5
20110101 20110131    20.6
20110201 20110228    20.2
20110301 20110331    20.4
20110401 20110430    18.3
20110501 20110531    16.6
20110601 20110630    16.0
20110701 20110731    13.6
20110801 20110831    13.8
20110901 20110930    13.7
20111001 20111031    15.6
20111101 20111130    16.3
20111201 20111231    18.9
20120101 20120131    19.2
20120201 20120229    20.4
20120301 20120331    19.4
20120401 20120430    18.5
20120501 20120531    16.0
20120601 20120630    14.8
20120701 20120731    14.5
20120801 20120831    13.3
20120901 20120930    14.1
20121001 20121031    15.2
20121101 20121130    15.7
20121201 20121231    18.8
20130101 20130131    19.2
20130201 20130228    19.3
20130301 20130331    19.2
20130401 20130430    17.9
20130501 20130531    16.0
20130601 20130630    14.5
20130701 20130731    14.1
20130801 20130831    13.7
20130901 20130930    14.5
20131001 20131031    15.2
20131101 20131130    16.6
20131201 20131231    17.6
20140101 20140131    19.4
20140201 20140228    19.4
20140301 20140331    18.3
20140401 20140430    17.7
20140501 20140531    15.9
20140601 20140630    15.5
20140701 20140731    13.5
20140801 20140831    13.8
20140901 20140930    14.6
20141001 20141031    15.0
20141101 20141130    16.1
20141201 20141231    19.3
20150101 20150131    20.2
20150201 20150228    20.5
20150301 20150331    19.5
20150401 20150430    18.8
20150501 20150531    16.8
20150601 20150630    14.9
20150701 20150731    13.6
20150801 20150831    13.6
20150901 20150930    14.4
20151001 20151031    15.3
20151101 20151130    16.8
20151201 20151231    18.3
20160101 20160131    20.1
20160201 20160229    22.2
20160301 20160331    20.7
20160401 20160430    19.3
20160501 20160531    17.9
20160601 20160630    16.1
20160701 20160731    14.9
20160801 20160831    13.5
20160901 20160930    15.2
20161001 20161031    15.0
20161101 20161130    16.6
20161201 20161231    17.7
20170101 20170131    19.3
20170201 20170228    20.8
20170301 20170331    20.1
20170401 20170430    18.9
20170501 20170531    17.2
20170601 20170630    15.2
20170701 20170731    13.5
20170801 20170831    14.4
20170901 20170930    14.2
20171001 20171031    15.5
20171101 20171130    17.0
20171201 20171231    18.6
20180101 20180131    20.2
20180201 20180228    21.0
20180301 20180331    20.6
20180401 20180430    18.9
20180501 20180531    16.4
20180601 20180630    15.0
20180701 20180731    14.1
20180801 20180831    13.5
20180901 20180930    13.6
20181001 20181031    16.0
20181101 20181130    16.8
20181201 20181231    18.5
20190101 20190131    20.0
20190201 20190228    21.3
20190301 20190331    20.5
20190401 20190430    18.1
20190501 20190531    17.3
20190601 20190630    15.3
20190701 20190731    14.3
20190801 20190831    13.7
20190901 20190930    14.6
20191001 20191031    14.6
20191101 20191130    16.3
20191201 20191231    18.3
20200101 20200131    19.1
20200201 20200229    21.6
20200301 20200331    19.4
20200401 20200430    18.0
20200501 20200531    16.7
20200601 20200630    14.8
20200701 20200731    14.9
20200801 20200831    14.2
20200901 20200930    14.0
20201001 20201031    16.7
20201101 20201130    17.1
20201201 20201231    18.6
