TMAX       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
20161201 20161231     8.5
20170101 20170131     9.1
20170201 20170228     9.7
20170301 20170331     9.1
20170401 20170430     8.3
20170501 20170531     6.8
20170601 20170630     6.4
20170701 20170731     4.7
20170801 20170831     5.6
20170901 20170930     5.9
20171001 20171031     6.3
20171101 20171130     6.9
20171201 20171231     8.7
20180101 20180131     9.5
20180201 20180228     8.8
20180301 20180331     8.6
20180401 20180430     6.9
20180501 20180531     5.9
20180601 20180630     6.3
20180701 20180731     5.8
20180801 20180831     5.9
20180901 20180930     6.3
20181001 20181031     6.5
20181101 20181130     8.2
20181201 20181231    10.2
20190101 20190131     9.0
20190201 20190228     9.2
20190301 20190331     8.9
20190401 20190430     8.3
20190501 20190531     6.8
20190601 20190630     6.0
20190701 20190731     5.7
20190801 20190831     4.6
20190901 20190930     5.1
20191001 20191031     6.0
20191101 20191130     7.4
20191201 20191231     8.6
20200101 20200131     9.0
20200201 20200229     9.0
20200301 20200331     8.4
20200401 20200430     7.8
20200501 20200531     6.9
20200601 20200630     5.7
20200701 20200731     5.3
20200801 20200831     4.6
20200901 20200930     4.8
20201001 20201031     7.0
20201101 20201130     8.2
20201201 20201231     8.6
