TMAX       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
20031201 20031231     2.9
20040101 20040131     2.6
20040201 20040229    -0.2
20040301 20040331    -7.5
20040401 20040430   -12.3
20040501 20040531   -12.1
20040601 20040630   -15.6
20040701 20040731   -16.9
20040801 20040831   -13.5
20040901 20040930   -16.5
20041001 20041031    -8.4
20041101 20041130    -2.8
20041201 20041231     3.2
20050101 20050131     3.0
20050201 20050228    -1.8
20050301 20050331    -5.4
20050401 20050430   -12.5
20050501 20050531   -15.4
20050601 20050630    -9.7
20050701 20050731   -15.0
20050801 20050831   -14.4
20050901 20050930   -13.5
20051001 20051031    -9.7
20051101 20051130    -4.1
20051201 20051231     3.4
20060101 20060131     2.5
20060201 20060228    -2.4
20060301 20060331    -7.7
20060401 20060430    -9.2
20060501 20060531   -15.0
20060601 20060630   -12.9
20060701 20060731   -18.3
20060801 20060831   -12.7
20060901 20060930   -13.4
20061001 20061031   -10.6
20061101 20061130    -2.8
20061201 20061231     0.8
20070101 20070131     2.1
20070201 20070228    -1.7
20070301 20070331    -7.5
20070401 20070430    -9.0
20070501 20070531    -6.9
20070601 20070630   -11.7
20070701 20070731   -11.0
20070801 20070831   -12.7
20070901 20070930   -14.8
20071001 20071031    -9.0
20071101 20071130    -1.5
20071201 20071231     0.4
20080101 20080131     1.0
20080201 20080229    -2.3
20080301 20080331    -7.6
20080401 20080430    -9.1
20080501 20080531   -11.4
20080601 20080630   -17.3
20080701 20080731   -12.8
20080801 20080831   -18.1
20080901 20080930   -14.8
20081001 20081031   -12.0
20081101 20081130    -2.4
20081201 20081231     1.8
20090101 20090131     1.8
20090201 20090228    -1.4
20090301 20090331    -6.8
20090401 20090430   -12.6
20090501 20090531   -10.5
20090601 20090630    -9.4
20090701 20090731    -9.6
20090801 20090831   -16.4
20090901 20090930   -12.4
20091001 20091031    -8.8
20091101 20091130    -2.3
20091201 20091231     1.5
20100101 20100131     3.5
20100201 20100228    -0.6
20100301 20100331    -6.8
20100401 20100430   -12.9
20100501 20100531   -13.9
20100601 20100630   -15.1
20100701 20100731   -18.3
20100801 20100831   -17.2
20100901 20100930   -10.3
20101001 20101031   -10.5
20101101 20101130    -4.1
20101201 20101231     1.2
20110101 20110131     2.5
20110201 20110228    -2.9
20110301 20110331    -5.9
20110401 20110430   -11.4
20110501 20110531   -13.4
20110601 20110630   -11.7
20110701 20110731   -10.8
20110801 20110831   -13.2
20110901 20110930   -13.0
20111001 20111031   -12.0
20111101 20111130    -2.5
20111201 20111231     1.5
20120101 20120131     1.4
20120201 20120229    -1.7
20120301 20120331    -8.8
20120401 20120430   -11.4
20120501 20120531   -14.8
20120601 20120630   -13.1
20120701 20120731   -17.3
20120801 20120831   -15.8
20120901 20120930   -15.7
20121001 20121031    -8.3
20121101 20121130    -1.6
20121201 20121231     2.4
20130101 20130131     2.1
20130201 20130228    -1.4
20130301 20130331    -8.7
20130401 20130430   -11.9
20130501 20130531   -16.7
20130601 20130630   -12.0
20130701 20130731   -14.7
20130801 20130831   -14.6
20130901 20130930    -8.9
20131001 20131031    -7.7
20131101 20131130    -1.4
20131201 20131231     1.8
20140101 20140131     3.5
20140201 20140228    -1.4
20140301 20140331    -9.6
20140401 20140430   -14.7
20140501 20140531   -10.2
20140601 20140630   -15.4
20140701 20140731   -17.0
20140801 20140831   -14.3
20140901 20140930   -10.5
20141001 20141031    -9.2
20141101 20141130    -1.1
20141201 20141231     1.3
20150101 20150131     2.3
20150201 20150228    -1.4
20150301 20150331    -7.7
20150401 20150430   -12.9
20150501 20150531   -17.9
20150601 20150630   -14.1
20150701 20150731   -19.3
20150801 20150831   -17.3
20150901 20150930   -13.6
20151001 20151031    -9.6
20151101 20151130    -1.5
20151201 20151231     2.4
20160101 20160131     2.0
20160201 20160229    -2.3
20160301 20160331    -8.3
20160401 20160430   -12.1
20160501 20160531   -13.5
20160601 20160630   -17.8
20160701 20160731   -16.3
20160801 20160831   -11.6
20160901 20160930   -16.3
20161001 20161031    -8.3
20161101 20161130     0.2
20161201 20161231     2.8
20170101 20170131     3.5
20170201 20170228    -1.0
20170301 20170331    -6.7
20170401 20170430   -15.1
20170501 20170531   -10.1
20170601 20170630   -16.8
20170701 20170731   -13.3
20170801 20170831   -16.7
20170901 20170930   -15.1
20171001 20171031   -10.3
20171101 20171130    -1.2
20171201 20171231     1.7
20180101 20180131     2.4
20180201 20180228    -1.5
20180301 20180331    -8.1
20180401 20180430    -8.1
20180501 20180531   -12.2
20180601 20180630   -11.0
20180701 20180731   -13.1
20180801 20180831   -10.1
20180901 20180930   -14.8
20181001 20181031    -9.4
20181101 20181130    -4.1
20181201 20181231     2.0
20190101 20190131     2.7
20190201 20190228     0.2
20190301 20190331    -7.1
20190401 20190430   -10.9
20190501 20190531   -14.2
20190601 20190630   -12.8
20190701 20190731   -15.4
20190801 20190831   -13.1
20190901 20190930   -14.5
20191001 20191031    -7.0
20191101 20191130    -1.7
20191201 20191231     2.8
20200101 20200131     2.9
20200201 20200229    -1.6
20200301 20200331    -8.3
20200401 20200430   -11.1
20200501 20200531   -10.2
20200601 20200630   -12.5
20200701 20200731   -12.5
20200801 20200831   -10.8
20200901 20200930   -11.1
20201001 20201031    -8.3
20201101 20201130    -1.6
20201201 20201231     1.8
