TMAX       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
19790601 19790630    19.6
19790701 19790731    18.6
19790801 19790831    18.5
19790901 19790930    19.0
19791001 19791031    20.0
19791101 19791130    22.8
19791201 19791231    25.0
19800101 19800131    25.5
19800201 19800229    24.7
19800301 19800331    24.5
19800401 19800430    22.1
19800501 19800531    21.1
19800601 19800630    19.1
19800701 19800731    18.1
19800801 19800831    19.0
19800901 19800930    20.2
19801001 19801031    20.9
19801101 19801130    22.6
19801201 19801231    23.9
19810101 19810131    25.5
19810201 19810228    27.1
19810301 19810331    25.4
19810401 19810430    23.7
19810501 19810531    21.4
19810601 19810630    19.6
19810701 19810731    18.4
19810801 19810831    18.5
19810901 19810930    20.0
19811001 19811031    20.5
19811101 19811130    21.4
19811201 19811231    24.7
19820101 19820131    25.0
19820201 19820228    25.5
19820301 19820331    24.9
19820401 19820430    23.0
19820501 19820531    21.3
19820601 19820630    18.7
19820701 19820731    18.0
19820801 19820831    18.7
19820901 19820930    18.9
19821001 19821031    19.9
19821101 19821130    21.4
19821201 19821231    23.8
19830101 19830131    24.9
19830201 19830228    26.0
19830301 19830331    25.2
19830401 19830430    22.8
19830501 19830531    21.6
19830601 19830630    18.9
19830701 19830731    17.9
19830801 19830831    18.5
19830901 19830930    20.4
19831001 19831031    20.5
19831101 19831130    21.6
19831201 19831231    22.7
19840101 19840131    24.0
19840201 19840229    24.7
19840301 19840331    23.9
19840401 19840430    22.3
19840501 19840531    20.7
19840601 19840630    19.5
19840701 19840731    18.6
19840801 19840831    18.9
19840901 19840930    19.3
19841001 19841031    19.9
19841101 19841130    22.0
19841201 19841231    23.4
19850101 19850131    24.4
19850201 19850228    24.4
19850301 19850331    24.5
19850401 19850430    23.1
19850501 19850531    20.4
19850601 19850630    19.0
19850701 19850731    18.5
19850801 19850831    18.1
19850901 19850930    19.0
19851001 19851031    20.2
19851101 19851130    21.1
19851201 19851231    23.4
19860101 19860131    24.7
19860201 19860228    25.7
19860301 19860331    24.2
19860401 19860430    24.1
19860501 19860531    21.8
19860601 19860630    19.3
19860701 19860731    18.6
19860801 19860831    18.1
19860901 19860930    19.3
19861001 19861031    21.1
19861101 19861130    21.6
19861201 19861231    22.8
19870101 19870131    25.2
19870201 19870228    25.1
19870301 19870331    23.5
19870401 19870430    22.2
19870501 19870531    21.2
19870601 19870630    19.9
19870701 19870731    18.7
19870801 19870831    19.3
19870901 19870930    19.8
19871001 19871031    20.4
19871101 19871130    21.1
19871201 19871231    23.7
19880101 19880131    24.6
19880201 19880229    24.5
19880301 19880331    23.7
19880401 19880430    22.8
19880501 19880531    21.5
19880601 19880630    20.1
19880701 19880731    19.0
19880801 19880831    18.9
19880901 19880930    20.2
19881001 19881031    22.4
19881101 19881130    22.8
19881201 19881231    24.8
19890101 19890131    24.9
19890201 19890228    24.8
19890301 19890331    25.0
19890401 19890430    23.9
19890501 19890531    21.9
19890601 19890630    19.9
19890701 19890731    18.7
19890801 19890831    18.4
19890901 19890930    19.5
19891001 19891031    20.6
19891101 19891130    21.8
19891201 19891231    23.0
19900101 19900131    24.2
19900201 19900228    25.9
19900301 19900331    24.8
19900401 19900430    23.6
19900501 19900531    21.7
19900601 19900630    19.4
19900701 19900731    19.0
19900801 19900831    18.2
19900901 19900930    18.6
19901001 19901031    20.6
19901101 19901130    21.6
19901201 19901231    25.4
19910101 19910131    26.3
19910201 19910228    26.0
19910301 19910331    25.1
19910401 19910430    23.1
19910501 19910531    21.5
19910601 19910630    20.6
19910701 19910731    19.0
19910801 19910831    19.3
19910901 19910930    19.9
19911001 19911031    21.0
19911101 19911130    22.0
19911201 19911231    23.9
19920101 19920131    25.1
19920201 19920229    25.6
19920301 19920331    24.1
19920401 19920430    22.6
19920501 19920531    21.1
19920601 19920630    19.2
19920701 19920731    18.8
19920801 19920831    18.8
19920901 19920930    19.4
19921001 19921031    19.7
19921101 19921130    21.6
19921201 19921231    22.8
19930101 19930131    25.8
19930201 19930228    25.7
19930301 19930331    24.2
19930401 19930430    22.3
19930501 19930531    21.2
19930601 19930630    20.0
19930701 19930731    20.1
19930801 19930831    19.5
19930901 19930930    19.6
19931001 19931031    20.9
19931101 19931130    21.5
19931201 19931231    23.6
19940101 19940131    26.1
19940201 19940228    25.6
19940301 19940331    23.7
19940401 19940430    22.4
19940501 19940531    21.6
19940601 19940630    19.7
19940701 19940731    18.5
19940801 19940831    18.5
19940901 19940930    19.7
19941001 19941031    20.4
19941101 19941130    22.8
19941201 19941231    24.1
19950101 19950131    24.9
19950201 19950228    24.7
19950301 19950331    24.4
19950401 19950430    22.6
19950501 19950531    21.5
19950601 19950630    19.2
19950701 19950731    18.8
19950801 19950831    19.2
19950901 19950930    20.0
19951001 19951031    21.2
19951101 19951130    22.9
19951201 19951231    24.0
19960101 19960131    25.7
19960201 19960229    25.6
19960301 19960331    23.9
19960401 19960430    23.5
19960501 19960531    21.2
19960601 19960630    20.0
19960701 19960731    18.9
19960801 19960831    19.8
19960901 19960930    21.0
19961001 19961031    20.9
19961101 19961130    22.1
19961201 19961231    23.1
19970101 19970131    24.0
19970201 19970228    25.1
19970301 19970331    24.9
19970401 19970430    22.9
19970501 19970531    21.7
19970601 19970630    19.5
19970701 19970731    18.2
19970801 19970831    18.5
19970901 19970930    19.7
19971001 19971031    20.4
19971101 19971130    23.1
19971201 19971231    25.5
19980101 19980131    26.4
19980201 19980228    26.7
19980301 19980331    25.5
19980401 19980430    24.0
19980501 19980531    22.3
19980601 19980630    21.0
19980701 19980731    19.2
19980801 19980831    18.9
19980901 19980930    20.0
19981001 19981031    21.4
19981101 19981130    21.0
19981201 19981231    23.4
19990101 19990131    25.3
19990201 19990228    25.3
19990301 19990331    25.1
19990401 19990430    22.7
19990501 19990531    21.8
19990601 19990630    19.4
19990701 19990731    18.7
19990801 19990831    18.6
19990901 19990930    20.2
19991001 19991031    21.6
19991101 19991130    21.2
19991201 19991231    22.4
20000101 20000131    23.8
20000201 20000229    24.8
20000301 20000331    25.2
20000401 20000430    23.1
20000501 20000531    21.4
20000601 20000630    19.4
20000701 20000731    19.0
20000801 20000831    19.0
20000901 20000930    20.4
20001001 20001031    20.9
20001101 20001130    21.5
20001201 20001231    24.0
20010101 20010131    24.9
20010201 20010228    25.5
20010301 20010331    25.1
