TMAX       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
19630901 19630930    27.4
19631001 19631031    28.0
19631101 19631130    29.8
19631201 19631231    30.8
19640101 19640131    32.2
19640201 19640229    32.2
19640301 19640331    29.9
19640401 19640430    29.1
19640501 19640531    27.7
19640601 19640630    27.2
19640701 19640731    26.9
19640801 19640831    26.4
19640901 19640930    27.7
19641001 19641031    29.4
19641101 19641130    29.7
19641201 19641231    30.2
19650101 19650131    30.0
19650201 19650228    30.0
19650301 19650331    29.6
19650401 19650430    28.4
19650501 19650531    28.1
19650601 19650630    26.5
19650701 19650731    24.4
19650801 19650831    25.5
19650901 19650930    27.0
19651001 19651031    27.9
19651101 19651130    29.6
19651201 19651231    30.7
19660101 19660131    31.0
19660201 19660228    31.4
19660301 19660331    30.6
19660401 19660430    29.3
19660501 19660531    27.6
19660601 19660630    26.6
19660701 19660731    26.0
19660801 19660831    25.5
19660901 19660930    27.0
19661001 19661031    27.7
19661101 19661130    28.6
19661201 19661231    29.3
19670101 19670131    30.3
19670201 19670228    30.3
19670301 19670331    29.3
19670401 19670430    28.0
19670501 19670531    26.8
19670601 19670630    25.8
19670701 19670731    25.0
19670801 19670831    26.1
19670901 19670930    26.9
19671001 19671031    28.5
19671101 19671130    29.4
19671201 19671231    30.6
19680101 19680131    30.8
19680201 19680229    30.2
19680301 19680331    29.8
19680401 19680430    28.9
19680501 19680531    28.4
19680601 19680630    27.2
19680701 19680731    26.5
19680801 19680831    26.6
19680901 19680930    27.3
19681001 19681031    28.3
19681101 19681130    29.6
19681201 19681231    30.5
19690101 19690131    30.3
19690201 19690228    30.6
19690301 19690331    30.2
19690401 19690430    28.1
19690501 19690531    28.4
19690601 19690630    26.9
19690701 19690731    26.2
19690801 19690831    26.2
19690901 19690930    27.1
19691001 19691031    28.1
19691101 19691130    29.8
19691201 19691231    31.1
19700101 19700131    31.0
19700201 19700228    30.3
19700301 19700331    29.4
19700401 19700430    28.8
19700501 19700531    27.8
19700601 19700630    27.2
19700701 19700731    26.1
19700801 19700831    26.0
19700901 19700930    27.6
19701001 19701031    28.4
19701101 19701130    29.6
19701201 19701231    30.1
19710101 19710131    31.5
19710201 19710228    31.3
19710301 19710331    29.7
19710401 19710430    28.5
19710501 19710531    28.0
19710601 19710630    26.7
19710701 19710731    25.8
19710801 19710831    26.7
19710901 19710930    27.8
19711001 19711031    30.1
19711101 19711130    30.9
19711201 19711231    31.2
19720101 19720131    30.8
19720201 19720229    30.0
19720301 19720331    29.2
19720401 19720430    28.1
19720501 19720531    26.7
19720601 19720630    26.0
19720701 19720731    25.9
19720801 19720831    25.9
19720901 19720930    26.3
19721001 19721031    28.3
19721101 19721130    29.5
19721201 19721231    30.0
19730101 19730131    31.4
19730201 19730228    32.3
19730301 19730331    29.9
19730401 19730430    29.0
19730501 19730531    28.6
19730601 19730630    27.9
19730701 19730731    26.8
19730801 19730831    26.6
19730901 19730930    27.3
19731001 19731031    28.8
19731101 19731130    30.4
19731201 19731231    30.3
19740101 19740131    29.9
19740201 19740228    30.2
19740301 19740331    29.3
19740401 19740430    29.1
19740501 19740531    27.7
19740601 19740630    26.3
19740701 19740731    25.9
19740801 19740831    27.0
19740901 19740930    28.3
19741001 19741031    29.4
19741101 19741130    30.5
19741201 19741231    30.9
19750101 19750131    31.2
19750201 19750228    30.3
19750301 19750331    30.2
19750401 19750430    29.2
