#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.10 mm/year (no glacial isostatic adjustment correction) 
year,sea-level [mm]
2018-09-21,58.140
2018-10-01,61.040
2018-10-11,58.550
2018-10-21,59.340
2018-10-31,60.850
2018-11-10,58.570
2018-11-20,57.980
2018-11-30,56.820
2018-12-10,57.440
2018-12-20,57.830
2018-12-29,58.800
2019-01-08,57.060
2019-01-18,62.160
2019-01-28,59.510
2019-02-07,61.980
2019-02-17,60.760
2019-02-23,60.500
2019-03-10,61.040
2019-03-19,63.390
2019-03-29,62.510
2019-04-05,61.420
2019-04-17,60.920
2019-04-27,62.870
2019-05-07,65.210
2019-05-17,62.220
2019-05-27,61.070
2019-06-06,60.320
2019-06-16,64.710
2019-06-26,63.990
2019-07-06,65.420
2019-07-16,63.290
2019-07-26,62.790
2019-08-04,62.730
2019-08-14,65.790
2019-08-24,66.600
2019-09-03,64.880
2019-09-13,64.710
2019-09-23,64.700
2019-10-03,62.150
2019-10-13,63.920
2019-10-23,63.480
2019-11-02,61.650
2019-11-12,65.140
2019-11-21,63.610
2019-12-01,63.310
2019-12-11,64.460
2019-12-21,63.660
2019-12-31,63.540
2020-01-10,61.100
2020-01-20,60.170
2020-01-28,61.770
2020-02-10,68.190
2020-02-19,66.390
2020-02-29,62.950
2020-03-10,64.660
2020-03-20,61.550
2020-03-30,63.750
2020-04-08,66.520
2020-04-18,64.060
2020-04-28,63.810
2020-05-08,65.440
2020-05-18,66.150
2020-05-28,67.190
2020-06-07,67.510
2020-06-17,64.480
2020-06-27,67.210
2020-07-07,65.700
2020-07-17,66.730
2020-07-27,67.280
2020-08-06,66.890
2020-08-16,64.010
2020-08-26,65.320
2020-09-05,66.290
2020-09-14,65.640
2020-09-24,65.670
2020-10-04,66.670
2020-10-14,68.000
2020-10-24,68.250
2020-11-03,69.280
2020-11-13,67.130
2020-11-23,63.960
2020-12-03,67.600
2020-12-13,65.980
2020-12-23,66.600
2020-12-23,66.730
2021-01-02,67.225
2021-01-12,68.030
2021-01-12,69.540
2021-01-22,68.465
2021-01-31,70.480
2021-02-10,68.480
2021-02-20,65.800
2021-02-20,66.410
2021-03-02,64.580
2021-03-02,65.050
2021-03-12,64.730
2021-03-12,67.030
2021-03-22,68.000
2021-03-22,65.770
2021-04-01,69.980
2021-04-11,72.025
2021-04-21,72.100
2021-04-21,70.340
2021-05-01,68.250
2021-05-01,67.340
2021-05-11,69.850
2021-05-11,69.680
2021-05-20,71.080
2021-05-30,70.355
2021-06-09,67.550
2021-06-19,71.680
2021-06-29,71.760
2021-06-29,71.330
2021-07-09,71.790
2021-07-09,71.280
2021-07-19,70.325
2021-07-29,73.185
2021-08-08,73.050
2021-08-08,76.060
2021-08-18,73.610
2021-08-28,68.695
2021-09-06,69.830
2021-09-16,71.690
2021-09-16,71.720
2021-09-26,71.425
2021-10-06,73.045
2021-10-16,72.345
2021-10-26,73.810
2021-11-05,70.910
2021-11-15,68.895
2021-11-25,72.020
2021-12-05,74.635
2021-12-15,70.610
2021-12-24,67.785
2022-01-03,69.610
2022-01-13,72.015
2022-01-23,74.160
2022-01-23,74.000
2022-02-02,71.660
2022-02-02,72.670
2022-02-12,73.740
2022-02-12,73.640
2022-02-22,71.035
2022-03-04,69.725
2022-03-14,72.265
2022-03-24,71.995
2022-04-03,73.335
2022-04-08,67.180
2022-04-12,73.730
2022-04-22,70.280
2022-04-27,68.170
2022-05-02,72.560
2022-05-04,72.240
2022-05-12,70.660
2022-05-14,70.360
2022-05-22,71.980
2022-05-24,71.630
2022-06-01,70.790
2022-06-03,70.520
2022-06-11,72.350
2022-06-13,71.760
2022-06-21,70.450
2022-06-23,71.910
2022-07-01,73.250
2022-07-03,74.820
2022-07-11,74.840
2022-07-13,74.670
2022-07-21,77.020
2022-07-23,75.450
2022-07-30,74.200
2022-08-01,71.870
2022-08-09,69.130
2022-08-11,69.880
2022-08-19,70.340
2022-08-21,71.120
2022-08-29,71.010
2022-08-31,72.600
2022-09-08,74.310
2022-09-10,74.610
2022-09-18,75.510
2022-09-20,73.140
2022-09-28,75.510
2022-09-30,75.000
2022-10-08,74.150
2022-10-10,73.760
2022-10-18,73.710
2022-10-20,72.900
2022-10-28,73.000
2022-10-30,72.750
2022-11-07,76.660
2022-11-09,73.910
2022-11-16,72.660
2022-11-18,69.370
2022-11-26,73.070
2022-11-28,70.870
2022-12-06,69.550
2022-12-08,68.530
2022-12-16,74.930
2022-12-18,76.120
2022-12-26,76.550
2022-12-28,78.890
2023-01-05,76.410
2023-01-07,76.660
2023-01-15,78.180
2023-01-17,77.870
2023-01-25,77.670
2023-01-27,77.140
2023-02-04,74.850
2023-02-06,74.740
2023-02-14,73.390
2023-02-16,75.250
2023-02-24,73.680
2023-02-25,74.970
2023-03-05,77.520
2023-03-07,77.720
2023-03-15,78.820
2023-03-17,76.540
2023-03-25,75.400
2023-03-27,73.570
2023-04-04,72.880
2023-04-06,70.840
2023-04-14,70.780
2023-04-16,71.790
2023-04-24,74.610
2023-04-26,76.230
2023-05-04,75.880
2023-05-06,77.570
2023-05-14,79.870
2023-05-16,80.190
2023-05-24,77.970
2023-05-26,76.960
2023-06-03,77.260
2023-06-05,76.520
2023-06-13,76.300
2023-06-14,76.430
2023-06-22,76.560
2023-06-24,77.950
2023-07-02,79.430
2023-07-04,79.520
2023-07-12,82.380
2023-07-14,80.620
2023-07-22,79.530
2023-07-24,79.860
2023-08-01,78.790
2023-08-03,79.540
2023-08-11,79.580
2023-08-13,79.310
2023-08-21,77.090
2023-08-23,77.540
2023-08-31,81.450
2023-09-02,81.420
2023-09-10,79.570
2023-09-12,79.740
2023-09-20,82.000
2023-09-22,82.600
2023-09-30,81.930
2023-10-02,81.210
2023-10-09,83.720
2023-10-11,84.230
2023-10-19,86.530
2023-10-21,85.230
2023-10-29,81.690
2023-10-31,82.050
2023-11-08,82.300
2023-11-10,81.980
2023-11-18,80.250
2023-11-20,79.500
2023-11-28,75.620
2023-11-30,76.850
2023-12-08,77.640
2023-12-10,79.470
2023-12-18,79.540
2023-12-20,81.760
2023-12-28,82.070
2023-12-30,83.430
2024-01-07,83.640
2024-01-09,83.400
2024-01-17,83.390
2024-01-19,84.190
2024-01-27,83.670
2024-01-28,80.940
2024-02-05,79.530
2024-02-07,79.200
2024-02-15,82.850
2024-02-17,83.280
2024-02-25,84.910
2024-02-27,83.270
2024-03-06,84.230
2024-03-08,84.200
2024-03-16,85.610
2024-03-18,84.000
2024-03-26,83.670
2024-03-28,82.020
2024-04-05,81.730
2024-04-07,79.880
2024-04-15,81.520
2024-04-17,81.730
2024-04-25,81.340
2024-04-27,81.370
2024-05-05,82.400
2024-05-07,81.910
2024-05-15,83.380
2024-05-17,83.120
2024-05-25,82.260
2024-05-27,81.470
2024-06-04,82.630
2024-06-06,84.520
2024-06-14,83.140
2024-06-16,84.100
2024-06-24,81.070
2024-06-26,79.580
2024-07-03,82.710
2024-07-06,80.500
2024-07-13,81.920
2024-07-15,81.770
2024-07-23,78.040
2024-07-25,78.050
2024-08-02,75.860
2024-08-04,76.200
2024-08-12,76.650
2024-08-14,77.040
2024-08-22,80.530
2024-08-24,79.260
2024-09-01,80.110
2024-09-03,80.130
2024-09-11,79.930
2024-09-13,80.370
2024-09-21,76.490
2024-09-23,78.270
2024-09-28,77.840
2024-09-29,85.440
