TMAX       300017 19700101 20201231 missing_value=99999.9 CASEY                                     
20040901 20040930    -9.6
20041001 20041031    -7.1
20041101 20041130    -3.1
20041201 20041231     2.3
20050101 20050131     3.2
20050201 20050228     0.2
20050301 20050331    -4.5
20050401 20050430    -7.1
20050501 20050531   -11.5
20050601 20050630    -9.1
20050701 20050731   -14.3
20050801 20050831   -13.3
20050901 20050930    -9.5
20051001 20051031    -7.1
20051101 20051130    -2.8
20051201 20051231     3.8
20060101 20060131     2.0
20060201 20060228     0.4
20060301 20060331    -3.3
20060401 20060430    -4.0
20060501 20060531   -15.2
20060601 20060630   -11.2
20060701 20060731    -8.1
20060801 20060831    -8.2
20060901 20060930   -10.5
20061001 20061031    -9.2
20061101 20061130    -3.5
20061201 20061231     1.0
20070101 20070131     3.2
20070201 20070228     0.1
20070301 20070331    -2.2
20070401 20070430    -4.6
20070501 20070531    -8.8
20070601 20070630    -9.7
20070701 20070731    -6.9
20070801 20070831    -9.9
20070901 20070930    -9.1
20071001 20071031    -6.6
20071101 20071130    -1.4
20071201 20071231     0.8
20080101 20080131     1.0
20080201 20080229    -1.5
20080301 20080331    -5.4
20080401 20080430    -5.9
20080501 20080531    -8.3
20080601 20080630    -9.6
20080701 20080731    -9.1
20080801 20080831   -10.1
20080901 20080930   -10.5
20081001 20081031    -8.9
20081101 20081130    -1.7
20081201 20081231     1.2
20090101 20090131     1.5
20090201 20090228     0.7
20090301 20090331    -2.6
20090401 20090430    -8.0
20090501 20090531    -7.4
20090601 20090630    -8.0
20090701 20090731    -5.4
20090801 20090831   -10.8
20090901 20090930    -6.1
20091001 20091031    -6.2
20091101 20091130    -2.7
20091201 20091231     1.1
20100101 20100131     4.4
20100201 20100228    -0.9
20100301 20100331    -4.7
20100401 20100430   -11.0
20100501 20100531   -10.5
20100601 20100630    -9.9
20100701 20100731   -11.3
20100801 20100831   -11.0
20100901 20100930    -9.7
20101001 20101031    -7.5
20101101 20101130    -2.8
20101201 20101231     0.9
20110101 20110131     3.9
20110201 20110228    -1.5
20110301 20110331    -3.8
20110401 20110430    -5.0
20110501 20110531   -13.5
20110601 20110630   -13.1
20110701 20110731   -12.4
20110801 20110831    -7.7
20110901 20110930    -9.9
20111001 20111031    -7.8
20111101 20111130    -3.2
20111201 20111231     1.4
20120101 20120131     0.7
20120201 20120229    -0.1
20120301 20120331    -4.2
20120401 20120430    -7.4
20120501 20120531    -9.9
20120601 20120630   -12.4
20120701 20120731   -13.3
20120801 20120831   -11.6
20120901 20120930   -11.7
20121001 20121031    -6.7
20121101 20121130    -2.6
20121201 20121231     1.3
20130101 20130131     2.9
20130201 20130228    -0.8
20130301 20130331    -6.5
20130401 20130430   -10.6
20130501 20130531    -7.8
20130601 20130630    -8.4
20130701 20130731   -15.1
20130801 20130831   -12.2
20130901 20130930    -4.8
20131001 20131031    -8.6
20131101 20131130    -2.9
20131201 20131231     1.4
20140101 20140131     3.2
20140201 20140228     0.1
20140301 20140331    -5.9
20140401 20140430   -10.0
20140501 20140531    -9.6
20140601 20140630   -14.6
20140701 20140731   -10.9
20140801 20140831   -15.9
20140901 20140930    -9.1
20141001 20141031    -7.2
20141101 20141130    -1.0
20141201 20141231     2.0
20150101 20150131     2.6
20150201 20150228     1.2
20150301 20150331    -3.5
20150401 20150430   -10.1
20150501 20150531   -12.3
20150601 20150630    -9.8
20150701 20150731   -13.6
20150801 20150831   -11.6
20150901 20150930   -11.0
20151001 20151031    -9.8
20151101 20151130    -1.7
20151201 20151231     1.8
20160101 20160131     1.2
20160201 20160229    -1.2
20160301 20160331    -4.3
20160401 20160430    -8.2
20160501 20160531    -6.4
20160601 20160630   -13.0
20160701 20160731   -13.1
20160801 20160831    -9.0
20160901 20160930   -11.4
20161001 20161031    -6.3
20161101 20161130    -0.8
20161201 20161231     2.1
20170101 20170131     2.9
20170201 20170228     1.1
20170301 20170331    -3.2
20170401 20170430    -6.3
20170501 20170531    -9.6
20170601 20170630   -15.6
20170701 20170731   -13.7
20170801 20170831   -13.0
20170901 20170930   -12.3
20171001 20171031   -10.2
20171101 20171130    -1.6
20171201 20171231     1.5
20180101 20180131     2.0
20180201 20180228    -0.1
20180301 20180331    -5.0
20180401 20180430    -4.2
20180501 20180531   -10.2
20180601 20180630    -9.4
20180701 20180731    -7.1
20180801 20180831   -15.5
20180901 20180930   -12.6
20181001 20181031    -7.0
20181101 20181130    -2.3
20181201 20181231     1.3
20190101 20190131     2.6
20190201 20190228     0.3
20190301 20190331    -3.5
20190401 20190430    -7.0
20190501 20190531   -12.2
20190601 20190630   -11.7
20190701 20190731    -8.7
20190801 20190831   -10.8
20190901 20190930   -13.0
20191001 20191031    -7.8
20191101 20191130    -1.2
20191201 20191231     2.2
20200101 20200131     4.3
20200201 20200229    -0.4
20200301 20200331    -5.8
20200401 20200430    -3.6
20200501 20200531   -11.5
20200601 20200630   -11.2
20200701 20200731   -10.0
20200801 20200831   -12.6
20200901 20200930    -8.4
20201001 20201031    -6.6
20201101 20201130    -2.2
20201201 20201231     0.4
