Max_min: Daily
Station	Date(NZST)	Tmax(C)	Per(Hrs)	Tmin(C)	Per(Hrs)	Tgmin(C)	Per(Hrs)	Tmean(C)	RHmean(%)	Per(Hrs)	Freq
6169	19410221:0900	24.4	24	19.8	24	18.9	24	-	-	-	D
6169	19410222:0900	23.3	24	19.7	24	19.1	24	-	-	-	D
6169	19410223:0900	22.7	24	18.9	24	18.7	24	-	-	-	D
6169	19410224:0900	24.0	24	19.4	24	17.6	24	-	-	-	D
6169	19410225:0900	24.6	24	18.4	24	17.3	24	-	-	-	D
6169	19410226:0900	24.1	24	19.9	24	19.2	24	-	-	-	D
6169	19410227:0900	24.3	24	19.8	24	18.8	24	-	-	-	D
6169	19410228:0900	25.3	24	21.1	24	19.8	24	-	-	-	D
6169	19410301:0900	25.7	24	20.0	24	17.1	24	-	-	-	D
6169	19410302:0900	25.6	24	19.9	24	18.9	24	-	-	-	D
6169	19410303:0900	24.0	24	19.5	24	18.3	24	-	-	-	D
6169	19410304:0900	24.1	24	20.0	24	17.8	24	-	-	-	D
6169	19410305:0900	23.9	24	17.7	24	16.5	24	-	-	-	D
6169	19410306:0900	23.3	24	18.3	24	14.9	24	-	-	-	D
6169	19410307:0900	25.0	24	17.6	24	13.6	24	-	-	-	D
6169	19410308:0900	24.5	24	17.1	24	15.0	24	-	-	-	D
6169	19410309:0900	24.4	24	19.1	24	17.4	24	-	-	-	D
6169	19410310:0900	24.2	24	17.9	24	16.7	24	-	-	-	D
6169	19410311:0900	23.9	24	19.8	24	18.1	24	-	-	-	D
6169	19410312:0900	24.6	24	18.8	24	18.2	24	-	-	-	D
6169	19410313:0900	23.2	24	19.3	24	17.0	24	-	-	-	D
6169	19410314:0900	24.6	24	17.6	24	15.6	24	-	-	-	D
6169	19410315:0900	24.3	24	17.4	24	15.3	24	-	-	-	D
6169	19410316:0900	24.9	24	19.9	24	17.6	24	-	-	-	D
6169	19410317:0900	26.4	24	21.9	24	20.7	24	-	-	-	D
6169	19410318:0900	26.1	24	20.8	24	20.4	24	-	-	-	D
6169	19410319:0900	26.2	24	22.6	24	20.6	24	-	-	-	D
6169	19410320:0900	25.7	24	21.3	24	18.3	24	-	-	-	D
6169	19410321:0900	25.3	24	18.4	24	17.7	24	-	-	-	D
6169	19410322:0900	25.1	24	19.0	24	15.8	24	-	-	-	D
