MIN TEMP       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
20150101 20150131     5.8
20150201 20150228     6.2
20150301 20150331     5.6
20150401 20150430     3.4
20150501 20150531     2.7
20150601 20150630     0.3
20150701 20150731     0.9
20150801 20150831     0.5
20150901 20150930     1.1
20151001 20151031     1.3
20151101 20151130     2.1
20151201 20151231     4.0
20160101 20160131     4.5
20160201 20160229     4.5
20160301 20160331     4.2
20160401 20160430     3.4
20160501 20160531     2.7
20160601 20160630     2.7
20160701 20160731     1.8
20160801 20160831     2.4
20160901 20160930     3.2
20161001 20161031     3.3
20161101 20161130     3.6
20161201 20161231     5.2
20170101 20170131     5.2
20170201 20170228     6.3
20170301 20170331     6.0
20170401 20170430     5.1
20170501 20170531     3.5
20170601 20170630     2.3
20170701 20170731     1.1
20170801 20170831     1.9
20170901 20170930     2.5
20171001 20171031     2.2
20171101 20171130     3.3
20171201 20171231     5.0
20180101 20180131     6.4
20180201 20180228     5.2
20180301 20180331     5.0
20180401 20180430     3.4
20180501 20180531     2.2
20180601 20180630     3.5
20180701 20180731     2.6
20180801 20180831     2.8
20180901 20180930     2.6
20181001 20181031     2.7
20181101 20181130     4.1
20181201 20181231     6.0
20190101 20190131     5.3
20190201 20190228     5.8
20190301 20190331     5.8
20190401 20190430     5.1
20190501 20190531     3.6
20190601 20190630     2.5
20190701 20190731     2.8
20190801 20190831     0.5
20190901 20190930     1.1
20191001 20191031     2.3
20191101 20191130     3.5
20191201 20191231     4.7
20200101 20200131     5.6
20200201 20200229     5.4
20200301 20200331     5.3
20200401 20200430     5.1
20200501 20200531     3.5
20200601 20200630     2.0
20200701 20200731     2.3
20200801 20200831     0.7
20200901 20200930     0.4
20201001 20201031     2.8
20201101 20201130     3.9
20201201 20201231     4.8
